symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICIBANK,INE090A01021,2025-07-30,NSE,EQ,EQ,buy,false,8,1481.6,1000000,2000000000000000000,2025-07-30T09:42:16
RELIANCE,INE002A01018,2025-07-30,NSE,EQ,EQ,buy,false,10,1408.3,1000002,2000000000000000002,2025-07-30T12:52:10
ICICIBANK,INE090A01021,2025-07-30,NSE,EQ,EQ,sell,false,8,1524.65,1000001,2000000000000000001,2025-07-30T13:42:16
RELIANCE,INE002A01018,2025-07-31,NSE,EQ,EQ,buy,false,1,1387.8,1000004,2000000000000000004,2025-07-31T09:32:05
RELIANCE,INE002A01018,2025-07-31,NSE,EQ,EQ,sell,false,1,1348.71,1000005,2000000000000000005,2025-07-31T10:30:05
RELIANCE,INE002A01018,2025-07-31,NSE,EQ,EQ,sell,false,10,1425.97,1000003,2000000000000000003,2025-07-31T12:42:52
HDFC,INE040A01034,2025-08-01,NSE,EQ,EQ,buy,false,47,1011.4,1000010,2000000000000000010,2025-08-01T09:30:34
ICICIBANK,INE090A01021,2025-08-01,NSE,EQ,EQ,buy,false,21,1483.6,1000006,2000000000000000006,2025-08-01T11:14:29
HDFC,INE040A01034,2025-08-01,NSE,EQ,EQ,buy,false,14,1011.4,1000008,2000000000000000008,2025-08-01T14:42:46
ICICIBANK,INE090A01021,2025-08-01,NSE,EQ,EQ,buy,false,9,1483.6,1000012,2000000000000000012,2025-08-01T14:52:14
ICICIBANK,INE090A01021,2025-08-01,NSE,EQ,EQ,sell,false,9,1526.79,1000013,2000000000000000013,2025-08-01T15:04:14
ICICIBANK,INE090A01021,2025-08-04,NSE,EQ,EQ,sell,false,21,1379.54,1000007,2000000000000000007,2025-08-04T09:11:52
HDFC,INE040A01034,2025-08-04,NSE,EQ,EQ,buy,false,16,999.35,1000016,2000000000000000016,2025-08-04T10:52:01
HDFC,INE040A01034,2025-08-04,NSE,EQ,EQ,sell,false,14,1060.99,1000009,2000000000000000009,2025-08-04T11:22:52
RELIANCE,INE002A01018,2025-08-04,NSE,EQ,EQ,buy,false,21,1408.8,1000014,2000000000000000014,2025-08-04T13:16:38
HDFC,INE040A01034,2025-08-04,NSE,EQ,EQ,sell,false,47,1054.2,1000011,2000000000000000011,2025-08-04T15:05:52
