symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2025-07-29,NSE,EQ,EQ,buy,false,1,1395.8,1000000,2000000000000000000,2025-07-29T09:22:05
RELIANCE,INE002A01018,2025-07-29,NSE,EQ,EQ,buy,false,38,1391.4,1000002,2000000000000000002,2025-07-29T09:49:14
HDFC,INE040A01034,2025-07-29,NSE,EQ,EQ,buy,false,8,1006.75,1000004,2000000000000000004,2025-07-29T10:25:27
RELIANCE,INE002A01018,2025-07-29,NSE,EQ,EQ,sell,false,1,1383.29,1000001,2000000000000000001,2025-07-29T10:36:42
RELIANCE,INE002A01018,2025-07-29,NSE,EQ,EQ,sell,false,38,1411.59,1000003,2000000000000000003,2025-07-29T13:15:47
ICICIBANK,INE090A01021,2025-07-29,NSE,EQ,EQ,buy,false,35,1485.9,1000006,2000000000000000006,2025-07-29T14:34:52
ICICIBANK,INE090A01021,2025-07-29,NSE,EQ,EQ,buy,false,43,1486.2,1000008,2000000000000000008,2025-07-29T15:09:47
HDFC,INE040A01034,2025-07-29,NSE,EQ,EQ,sell,false,8,1050.47,1000005,2000000000000000005,2025-07-29T15:22:19
ICICIBANK,INE090A01021,2025-07-30,NSE,EQ,EQ,sell,false,43,1471.43,1000009,2000000000000000009,2025-07-30T09:19:47
INFY,INE009A01021,2025-07-30,NSE,EQ,EQ,buy,false,15,1511.2,1000010,2000000000000000010,2025-07-30T09:39:37
ICICIBANK,INE090A01021,2025-07-30,NSE,EQ,EQ,buy,false,27,1484.0,1000012,2000000000000000012,2025-07-30T09:45:10
ICICIBANK,INE090A01021,2025-07-30,NSE,EQ,EQ,sell,false,35,1434.89,1000007,2000000000000000007,2025-07-30T09:55:52
HDFC,INE040A01034,2025-07-30,NSE,EQ,EQ,buy,false,55,1012.1,1000014,2000000000000000014,2025-07-30T13:32:56
TCS,INE467B01029,2025-07-30,NSE,EQ,EQ,buy,false,58,3052.0,1000016,2000000000000000016,2025-07-30T15:12:16
INFY,INE009A01021,2025-07-31,NSE,EQ,EQ,buy,false,49,1499.5,1000018,2000000000000000018,2025-07-31T09:17:54
INFY,INE009A01021,2025-07-31,NSE,EQ,EQ,buy,false,35,1499.5,1000020,2000000000000000020,2025-07-31T09:30:30
ICICIBANK,INE090A01021,2025-07-31,NSE,EQ,EQ,sell,false,27,1532.52,1000013,2000000000000000013,2025-07-31T09:57:10
TCS,INE467B01029,2025-07-31,NSE,EQ,EQ,sell,false,58,3011.25,1000017,2000000000000000017,2025-07-31T11:23:16
INFY,INE009A01021,2025-07-31,NSE,EQ,EQ,sell,false,49,1448.4,1000019,2000000000000000019,2025-07-31T11:24:51
RELIANCE,INE002A01018,2025-07-31,NSE,EQ,EQ,buy,false,18,1391.0,1000022,2000000000000000022,2025-07-31T14:50:07
HDFC,INE040A01034,2025-08-01,NSE,EQ,EQ,sell,false,55,988.33,1000015,2000000000000000015,2025-08-01T09:00:56
RELIANCE,INE002A01018,2025-08-01,NSE,EQ,EQ,sell,false,18,1436.75,1000023,2000000000000000023,2025-08-01T09:50:07
INFY,INE009A01021,2025-08-01,NSE,EQ,EQ,sell,false,35,1536.95,1000021,2000000000000000021,2025-08-01T10:07:30
RELIANCE,INE002A01018,2025-08-05,NSE,EQ,EQ,buy,false,15,1397.2,1000024,2000000000000000024,2025-08-05T09:28:15
TCS,INE467B01029,2025-08-05,NSE,EQ,EQ,buy,false,12,3051.7,1000026,2000000000000000026,2025-08-05T09:41:58
RELIANCE,INE002A01018,2025-08-05,NSE,EQ,EQ,buy,false,62,1392.2,1000028,2000000000000000028,2025-08-05T12:00:00
RELIANCE,INE002A01018,2025-08-05,NSE,EQ,EQ,sell,false,15,1413.05,1000025,2000000000000000025,2025-08-05T12:42:31
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,sell,false,15,1454.63,1000011,2000000000000000011,2025-08-05T15:00:37
TCS,INE467B01029,2025-08-06,NSE,EQ,EQ,buy,false,34,3042.1,1000030,2000000000000000030,2025-08-06T09:38:35
RELIANCE,INE002A01018,2025-08-06,NSE,EQ,EQ,sell,false,62,1340.63,1000029,2000000000000000029,2025-08-06T10:12:00
TCS,INE467B01029,2025-08-06,NSE,EQ,EQ,buy,false,27,3030.9,1000032,2000000000000000032,2025-08-06T10:41:07
