symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TECHM,INE669C01036,2025-07-30,NSE,EQ,EQ,buy,false,47,1455.4,1000002,2000000000000000002,2025-07-30T11:21:45
TCS,INE467B01029,2025-07-30,NSE,EQ,EQ,buy,false,43,3060.0,1000000,2000000000000000000,2025-07-30T12:02:25
TECHM,INE669C01036,2025-07-30,NSE,EQ,EQ,sell,false,47,1339.32,1000003,2000000000000000003,2025-07-30T13:11:45
INFY,INE009A01021,2025-07-30,NSE,EQ,EQ,buy,false,45,1511.2,1000004,2000000000000000004,2025-07-30T14:10:37
INFY,INE009A01021,2025-07-30,NSE,EQ,EQ,sell,false,45,1557.94,1000005,2000000000000000005,2025-07-30T15:41:37
TCS,INE467B01029,2025-07-30,NSE,EQ,EQ,sell,false,43,3003.23,1000001,2000000000000000001,2025-07-30T15:51:25
TECHM,INE669C01036,2025-07-31,NSE,EQ,EQ,buy,false,45,1449.4,1000008,2000000000000000008,2025-07-31T12:56:27
TECHM,INE669C01036,2025-07-31,NSE,EQ,EQ,buy,false,54,1449.4,1000010,2000000000000000010,2025-07-31T13:11:11
TCS,INE467B01029,2025-07-31,NSE,EQ,EQ,buy,false,49,3018.6,1000006,2000000000000000006,2025-07-31T13:36:49
TECHM,INE669C01036,2025-07-31,NSE,EQ,EQ,sell,false,54,1336.65,1000011,2000000000000000011,2025-07-31T15:35:11
TCS,INE467B01029,2025-07-31,NSE,EQ,EQ,sell,false,49,2842.03,1000007,2000000000000000007,2025-07-31T15:43:49
TCS,INE467B01029,2025-08-01,NSE,EQ,EQ,buy,false,50,3022.0,1000012,2000000000000000012,2025-08-01T10:24:41
TCS,INE467B01029,2025-08-01,NSE,EQ,EQ,sell,false,50,3199.09,1000013,2000000000000000013,2025-08-01T13:50:41
TECHM,INE669C01036,2025-08-04,NSE,EQ,EQ,buy,false,45,1429.7,1000014,2000000000000000014,2025-08-04T09:30:54
TECHM,INE669C01036,2025-08-04,NSE,EQ,EQ,sell,false,45,1355.08,1000015,2000000000000000015,2025-08-04T11:50:54
WIPRO,INE075A01022,2025-08-04,NSE,EQ,EQ,buy,false,40,242.97,1000016,2000000000000000016,2025-08-04T13:02:32
TECHM,INE669C01036,2025-08-04,NSE,EQ,EQ,sell,false,45,1524.9,1000009,2000000000000000009,2025-08-04T13:57:14
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,buy,false,45,1459.0,1000020,2000000000000000020,2025-08-05T10:55:20
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,buy,false,51,1459.0,1000018,2000000000000000018,2025-08-05T11:07:21
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,buy,false,50,1459.0,1000022,2000000000000000022,2025-08-05T12:07:52
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,buy,false,39,1459.0,1000024,2000000000000000024,2025-08-05T13:40:00
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,sell,false,51,1568.79,1000019,2000000000000000019,2025-08-05T15:02:21
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,sell,false,45,1533.47,1000021,2000000000000000021,2025-08-05T15:15:20
INFY,INE009A01021,2025-08-05,NSE,EQ,EQ,sell,false,39,1429.43,1000025,2000000000000000025,2025-08-05T15:33:00
TECHM,INE669C01036,2025-08-06,NSE,EQ,EQ,buy,false,41,1469.0,1000026,2000000000000000026,2025-08-06T10:08:41
INFY,INE009A01021,2025-08-06,NSE,EQ,EQ,buy,false,44,1441.5,1000030,2000000000000000030,2025-08-06T13:17:59
TECHM,INE669C01036,2025-08-06,NSE,EQ,EQ,sell,false,41,1441.35,1000027,2000000000000000027,2025-08-06T13:33:41
WIPRO,INE075A01022,2025-08-06,NSE,EQ,EQ,buy,false,51,242.76,1000028,2000000000000000028,2025-08-06T14:32:24
WIPRO,INE075A01022,2025-08-06,NSE,EQ,EQ,sell,false,51,256.33,1000029,2000000000000000029,2025-08-06T15:44:24
INFY,INE009A01021,2025-08-06,NSE,EQ,EQ,sell,false,44,1461.83,1000031,2000000000000000031,2025-08-06T15:55:59
WIPRO,INE075A01022,2025-08-07,NSE,EQ,EQ,buy,false,51,240.79,1000032,2000000000000000032,2025-08-07T10:15:06
WIPRO,INE075A01022,2025-08-07,NSE,EQ,EQ,sell,false,40,221.93,1000017,2000000000000000017,2025-08-07T13:51:14
WIPRO,INE075A01022,2025-08-07,NSE,EQ,EQ,sell,false,51,250.89,1000033,2000000000000000033,2025-08-07T14:45:06
TCS,INE467B01029,2025-08-08,NSE,EQ,EQ,buy,false,46,3045.0,1000034,2000000000000000034,2025-08-08T09:30:20
TCS,INE467B01029,2025-08-08,NSE,EQ,EQ,sell,false,46,3119.73,1000035,2000000000000000035,2025-08-08T12:53:20
INFY,INE009A01021,2025-08-08,NSE,EQ,EQ,sell,false,50,1371.0,1000023,2000000000000000023,2025-08-08T13:15:14
INFY,INE009A01021,2025-08-11,NSE,EQ,EQ,buy,false,58,1416.0,1000036,2000000000000000036,2025-08-11T11:26:59
INFY,INE009A01021,2025-08-11,NSE,EQ,EQ,sell,false,58,1395.08,1000037,2000000000000000037,2025-08-11T13:40:59
TECHM,INE669C01036,2025-08-12,NSE,EQ,EQ,buy,false,63,1507.5,1000038,2000000000000000038,2025-08-12T12:12:07
TCS,INE467B01029,2025-08-12,NSE,EQ,EQ,buy,false,43,3075.0,1000040,2000000000000000040,2025-08-12T12:17:58
TCS,INE467B01029,2025-08-12,NSE,EQ,EQ,sell,false,43,3146.41,1000041,2000000000000000041,2025-08-12T13:35:58
TCS,INE467B01029,2025-08-12,NSE,EQ,EQ,buy,false,48,3075.0,1000042,2000000000000000042,2025-08-12T14:43:33
TCS,INE467B01029,2025-08-12,NSE,EQ,EQ,sell,false,48,2983.09,1000043,2000000000000000043,2025-08-12T15:11:33
INFY,INE009A01021,2025-08-13,NSE,EQ,EQ,buy,false,38,1423.9,1000048,2000000000000000048,2025-08-13T10:57:31
WIPRO,INE075A01022,2025-08-13,NSE,EQ,EQ,buy,false,57,240.89,1000050,2000000000000000050,2025-08-13T12:46:41
INFY,INE009A01021,2025-08-13,NSE,EQ,EQ,buy,false,31,1423.9,1000046,2000000000000000046,2025-08-13T13:47:23
INFY,INE009A01021,2025-08-13,NSE,EQ,EQ,buy,false,62,1423.9,1000044,2000000000000000044,2025-08-13T14:32:20
INFY,INE009A01021,2025-08-13,NSE,EQ,EQ,sell,false,62,1333.47,1000045,2000000000000000045,2025-08-13T15:42:20
INFY,INE009A01021,2025-08-13,NSE,EQ,EQ,sell,false,38,1478.09,1000049,2000000000000000049,2025-08-13T15:47:31
WIPRO,INE075A01022,2025-08-14,NSE,EQ,EQ,sell,false,57,250.27,1000051,2000000000000000051,2025-08-14T11:29:14
